file,tempo_bpm,zcr_mean,rms_mean,centroid_mean,rolloff_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean
IPFI1_Sub_128_Am_Bass_01-128BPM-A minor-BANDLAB.wav,123.046875,0.005240214239690721,0.2643009,96.99104036293652,164.58470924613403,-436.27933,137.7048,115.73407,86.32669,57.04516,33.76617,18.990032,11.875835,9.616414,9.215689,8.749498,7.6639285,6.279094,0.18315652,0.17128639,0.23159479,0.35526404,0.543784,0.6264995,0.5706338,0.5765626,0.5750786,0.52931637,0.37915516,0.25610784
IPFI1_Sub_128_Am_Bass_02-128BPM-A minor-BANDLAB.wav,129.19921875,0.009169619845360825,0.19571993,112.65483720812293,152.13097011920104,-456.65375,126.841095,104.200516,76.38019,51.71193,34.370667,24.101059,18.377428,14.746084,11.943073,9.720668,8.143214,7.107866,0.3743358,0.2553867,0.25180796,0.3257737,0.49338382,0.5358028,0.52320564,0.5107623,0.51082015,0.48655427,0.48914182,0.46352464
IPFI1_SynthBassline_179_Cm_Bass-179BPM-C minor-BANDLAB.wav,89.10290948275862,0.015176351968344156,0.13256574,475.9881228313622,904.0216619318181,-282.3063,191.0048,11.0773325,22.766918,30.336178,6.963765,8.624937,8.528907,4.9160905,4.66779,3.8754656,2.177321,3.0797672,0.44899637,0.37828523,0.35833496,0.3605225,0.36741215,0.3662492,0.36569867,0.46633175,0.40805614,0.3457658,0.3392341,0.3630837
IPFI1_Synth_120_Fm_Arp-120BPM-F minor-BANDLAB.wav,143.5546875,0.07485422327898551,0.094618134,1284.4575884834944,2110.3475288722825,-245.85997,135.02911,-58.717865,-17.976013,-28.468739,-17.744452,-27.344114,-22.90926,-31.42187,-25.03229,-24.574308,-19.434242,-21.51261,0.674448,0.23640053,0.13839191,0.23723237,0.13752267,0.1458521,0.14975692,0.3281274,0.45824465,0.28907883,0.1187084,0.23235272
IPFI1_Synth_145_C#_EGuitar_01-145BPM-C♯ major-BANDLAB.wav,95.703125,0.0671369645979021,0.08961215,1279.9156488367769,2447.2937097082604,-226.3059,174.30005,-88.388374,34.57377,-5.7694354,-16.315434,-6.87928,-23.505938,-1.2001114,-17.916182,-22.91468,-10.675932,-22.063484,0.38290352,0.6234137,0.4563802,0.3278095,0.24568827,0.2473526,0.2645577,0.26231313,0.5759781,0.37182462,0.27250835,0.24862806
IPFI1_Synth_145_C#_EGuitar_02-145BPM-C♯ major-BANDLAB.wav,95.703125,0.06237366149475525,0.08649087,1234.3928701124978,2337.745421082823,-289.602,129.34157,-85.35235,14.026054,-13.123726,-30.145802,-25.535181,-34.019634,-22.068722,-33.87511,-30.325985,-17.913305,-22.336134,0.48770905,0.6024628,0.24221724,0.21485628,0.115815274,0.1385679,0.1642835,0.16426055,0.51374406,0.20377254,0.052044906,0.11171413
IPFI1_TonPlucks_145_C#_Synth-145BPM-C♯ major-BANDLAB.wav,143.5546875,0.03303239729020979,0.04453775,539.4488948007886,823.8708922913024,-388.83374,225.0401,21.628023,-5.2821603,4.4927325,-7.4930763,-19.033833,-11.887473,-17.983894,-18.077465,-15.910926,-12.823955,-8.033619,0.21231924,0.44297302,0.2575453,0.28464895,0.20886391,0.4120176,0.34652498,0.22709888,0.35019755,0.2722773,0.3755932,0.15844767
IPFI1_ViolinMelo_128_Am_Synth-128BPM-A minor-BANDLAB.wav,117.45383522727273,0.1290904880798969,0.08847333,2037.7999361570025,3780.542294217139,-152.1243,99.68982,-59.300915,51.624237,-24.556456,-9.198118,-6.6265464,-7.512933,-22.827795,-14.653234,-26.246782,-3.7079208,-12.176488,0.4871567,0.19531621,0.2639602,0.18027218,0.48790437,0.35987824,0.18112974,0.24133705,0.1436654,0.23864824,0.18196884,0.5442783
IPFI1_ViolinMelo_128_Am_Synth_01-128BPM-A minor-BANDLAB.wav,129.19921875,0.13734797841494845,0.10761559,2152.748575969906,3783.1173989207473,-195.17279,71.701965,-59.84652,34.025883,-30.332108,-14.168226,-10.036063,-15.686205,-32.997097,-20.003302,-18.970428,-0.93901014,0.86366636,0.24352871,0.11276371,0.21847868,0.15663347,0.33172685,0.18947302,0.1906464,0.3093072,0.1474693,0.2762945,0.12202222,0.30838147
IPFI1_ViolinMelo_128_Am_Synth_02-128BPM-A minor-BANDLAB.wav,117.45383522727273,0.18592944587628865,0.043588318,2414.1733771450567,3942.329906974871,-313.32843,54.475765,-72.60509,26.96443,-35.08791,-33.72899,-20.776997,-23.164429,-29.78395,-20.538723,-32.09675,-12.424992,-14.546381,0.540109,0.17643104,0.33123916,0.16731928,0.44721842,0.23821786,0.24310613,0.36869085,0.1521988,0.33181664,0.1745546,0.51135266
IPFI1_Whoop_124_Am_Synth_01-124BPM-A minor-BANDLAB.wav,112.34714673913044,0.04238836779565868,0.05983885,935.1720362791891,1442.8213153770585,-344.3783,139.99791,-38.484493,-32.832737,-30.144987,-22.794975,-26.885157,-23.684614,-41.92124,-49.455482,-12.567405,-15.840516,-29.221186,0.028814862,0.06443756,0.1671626,0.36184537,0.4962332,0.19376901,0.06855623,0.14950852,0.40869096,0.4576839,0.13352253,0.026473459
IPFI1_Whoop_124_Am_Synth_02-124BPM-A minor-BANDLAB.wav,123.046875,0.12419155828967066,0.02672053,1632.8557841918664,2270.495751660741,-374.00998,100.559296,-104.029915,-24.713858,5.3712554,-11.683578,-21.681173,-15.342162,2.3350146,-4.233228,-12.303684,-8.363652,-8.631178,0.16534157,0.06714916,0.026135154,0.13818905,0.61403155,0.15330479,0.038558766,0.03698868,0.162673,0.47582465,0.16491109,0.3157991
IPFI1_Whoop_124_Am_Synth_03-124BPM-A minor-BANDLAB.wav,123.046875,0.06136116438997006,0.06956203,863.2873407629746,1102.738541471744,-391.15707,132.08195,-12.462962,-37.964592,-24.082726,-38.1757,-35.498165,-8.433824,7.283469,5.9400144,-2.3999443,-8.377956,3.2145014,0.43591028,0.21755333,0.36225915,0.13552973,0.22516845,0.10337041,0.024629034,0.07512935,0.07169947,0.2756142,0.0922558,0.08394221
PLHH_Access_85_Cmin_Keys_4bars-85BPM-C minor-BANDLAB.wav,135.99917763157896,0.041113882828542093,0.05396918,610.2080515898323,981.4188430441478,-398.81665,210.67647,13.555872,-25.1009,5.720011,-5.117177,-20.145956,-16.406597,-15.924311,-16.93839,-12.867029,-5.481221,2.6059792,0.1395379,0.14457133,0.42426842,0.23129542,0.1800704,0.43748587,0.2288333,0.16609204,0.12818944,0.32054198,0.6350512,0.22466543
PLHH_Accident_85_Dmin_Keys_4bars-85BPM-D minor-BANDLAB.wav,123.046875,0.03355805633983573,0.06478995,533.8257259802781,913.2819518416325,-406.027,192.85632,20.960793,-12.655813,13.982434,4.260563,-7.701267,-7.9296794,-13.630374,-5.914029,13.761741,12.276205,-8.319517,0.028741956,0.19711562,0.47452205,0.36752272,0.3940358,0.7735951,0.30541405,0.02105189,0.0018024091,0.0037855415,0.0017957094,0.0032912975
PLHH_Account_85_Fmin_Keys_4bars-85BPM-F minor-BANDLAB.wav,129.19921875,0.05658548030030801,0.06662063,763.5779191696889,1212.3591303580595,-343.82285,228.01726,-26.734844,-32.528778,5.4562664,-21.032734,-18.93914,-8.372931,-8.269342,3.8381608,2.821634,-3.091451,3.7787585,0.55076176,0.2937791,0.18694209,0.55362505,0.24544655,0.38672534,0.14702742,0.12992066,0.5922312,0.1658718,0.14017954,0.14867182
PLHH_Action_80_Amin_Pad_4bars-80BPM-A minor-BANDLAB.wav,129.19921875,0.10109499667553191,0.057768874,1051.1522312536736,1951.587102952732,-303.91364,203.57547,-32.19827,23.567198,12.781831,-2.3106647,6.1792946,-3.2950616,-1.4948984,-0.6455768,-6.9530334,-5.2194977,0.14407785,0.4577384,0.22481227,0.326033,0.22306769,0.42343315,0.21255842,0.26664308,0.33415627,0.18103646,0.28898627,0.23754433,0.3805613
